code,title,credits,description,course_type,typical_semester,difficulty,workload_hours,required,is_critical,offered_semesters,source,time_commitment,difficulty_level
STAT 41600,Probability,3,Mathematical probability theory and applications.,track_choice,junior_spring,4.1,12,False,False,fall|spring,comprehensive,,
MA 41600,Probability,3,Mathematical probability from mathematics department.,track_choice,junior_spring,4.2,12,False,False,fall|spring,comprehensive,,
STAT 51200,Applied Regression Analysis,3,Regression modeling and statistical analysis.,track_choice,senior_fall,4.0,12,False,False,fall|spring,comprehensive,,
CS 30700,Software Engineering I,3,"Software development lifecycle, requirements analysis, and design principles.",track_required,junior_spring,3.5,12,False,False,fall|spring,comprehensive,,
CS 40700,Software Engineering II,3,"Advanced software engineering topics, project management, and team development.",track_required,senior_fall,3.8,14,False,False,fall|spring,comprehensive,,
CS 40800,Software Testing,3,"Testing methodologies, test automation, and quality assurance.",track_required,senior_fall,3.2,11,False,False,fall|spring,comprehensive,,
CS 35200,Compilers,3,"Compiler design, parsing techniques, and code generation.",track_choice,junior_spring,4.3,15,False,False,fall|spring,comprehensive,,
CS 35400,Operating Systems,3,"Operating system concepts, process management, and memory management.",track_choice,junior_spring,4.1,14,False,False,fall|spring,comprehensive,,
CS 10100,Digital Literacy,3,Introduction to digital literacy concepts and computer basics,elective,Any,0,0,False,False,,cli_bot,,
CS 15900,C Programming,1,Introduction to C programming for non-CS majors,elective,Any,0,0,False,False,,cli_bot,,
CS 17600,Data Engineering in Python,3,Introduction to data engineering concepts using Python,elective,Any,0,0,False,False,,cli_bot,,
CS 17700,Programming with Multimedia Objects,3,Programming concepts using multimedia objects and interactive applications,elective,Any,0,0,False,False,,cli_bot,,
CS 19300,Tools,1,Introduction to computing tools and software engineering practices,foundation,Fall 1st Year,0,0,False,True,,cli_bot,,
CS 21100,Competitive Programming I,1,Introduction to competitive programming and algorithmic problem solving,elective,Any,0,0,False,False,,cli_bot,,
CS 23500,Introduction to Organizational Computing,3,Computing applications in organizational and business contexts,elective,Any,0,0,False,False,,cli_bot,,
CS 24200,Introduction to Data Science,3,"This course provides a broad introduction to the field of data science. The course focuses on using computational methods and statistical techniques to analyze massive amounts of data and to extract knowledge. It provides an overview of foundational computational and statistical tools for data acquisition and cleaning, data management and big data systems. The course surveys the complete data science process from data to knowledge and gives students hands-on experience with tools and methods. Basic knowledge of Python required.",data_science_core,Fall 2nd Year,3.5,12,True,True,fall|spring,comprehensive,10-15 hours per week,Moderate
CS 24300,Artificial Intelligence Basics,3,Introduction to artificial intelligence concepts and applications,elective,Any,0,0,False,False,,cli_bot,,
CS 29100,Sophomore Development Seminar,1,Professional development and career planning for CS students,seminar,Fall 2nd Year,0,0,False,False,,cli_bot,,
CS 31100,Competitive Programming II,1,Advanced competitive programming techniques and algorithms,elective,Any,0,0,False,False,,cli_bot,,
CS 34800,Information Systems,3,"File organization and index structures; object-oriented database languages; the relational database model with introductions to SQL and DBMS; hierarchical models and network models with introductions to HDDL, HDML, and DBTG Codasyl; data mining; data warehousing; database connectivity; distributed databases; the client/server paradigm; middleware, including ODBC, JDBC, CORBA, and MOM.",cs_selective_ii,Any,0,0,False,False,,cli_bot,,
CS 35300,Principles Of Concurrency and Parallelism,3,Principles Of Concurrency and Parallelism - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 39100,Junior Resource Seminar,1,Resource development and career preparation for junior CS students,seminar,Fall 3rd Year,0,0,False,False,,cli_bot,,
CS 41100,Competitive Programming III,1,Expert-level competitive programming and contest preparation,elective,Any,0,0,False,False,,cli_bot,,
CS 44800,Introduction To Relational Database Systems,3,"An in-depth examination of relational database systems including theory and concepts as well as practical issues in relational databases. Modern database technologies such as object-relational and Web-based access to relational databases. Conceptual design and entity relationship modeling, relational algebra and calculus, data definition and manipulation languages using SQL, schema and view management, query processing and optimization, transaction management, security, privacy, integrity management.",cs_selective_ii,Any,0,0,False,False,,cli_bot,,
CS 45600,Programming Languages,3,Programming Languages - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 47800,Introduction to Bioinformatics,3,Introduction to Bioinformatics - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 48900,Embedded Systems,3,Embedded Systems - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 49000,Special Topics in Computer Science,3,Variable content course covering specialized CS topics,track_elective,Any,0,0,False,False,,cli_bot,,
CS 51000,Software Engineering,3,Software Engineering - Track course,track,track_course,0,0,False,False,,cli_bot,,
MA 16500,Calculus I (Honors),5,Calculus I (Honors) - Fall 1st Year,math,Fall 1st Year,0,0,False,True,,cli_bot,,
MA 16600,Calculus II (Honors),5,Calculus II (Honors) - Spring 1st Year,math,Spring 1st Year,0,0,False,True,,cli_bot,,
MA 27101,Multivariate Calculus (Honors),5,Multivariate Calculus (Honors) - Fall 2nd Year,math,Fall 2nd Year,0,0,False,True,,cli_bot,,
MA 35100,Linear Algebra (Advanced),3,Linear Algebra (Advanced) - Spring 2nd Year,math,Spring 2nd Year,0,0,False,True,,cli_bot,,
STAT 51100,Statistical Methods,3,Statistical Methods - Fall 3rd Year,statistics,Fall 3rd Year,0,0,False,False,,cli_bot,,
CS 25300,Data Structures and Algorithms for DS/AI,3,"Data structures and algorithms specifically designed for Data Science and AI applications. Covers advanced data structures, algorithm analysis, and optimization techniques.",data_science_core,Spring 2nd Year,4.3,14,True,True,fall|spring,comprehensive,15-20 hours per week,Hard
CS 38003,Python Programming,1,"Introduction to Python programming for data science applications. Covers Python syntax, data structures, and libraries commonly used in data science.",data_science_core,Spring 1st Year,2.8,8,True,True,fall|spring,comprehensive,5-8 hours per week,Easy-Moderate
CS 44000,Large Scale Data Analytics,3,"Advanced techniques for processing and analyzing large-scale datasets. Covers distributed computing, big data frameworks, and scalable algorithms.",data_science_core,Fall 4th Year,4.5,16,True,True,fall|spring,comprehensive,18-22 hours per week,Very Hard
CS 44100,Data Science Capstone,3,"Culminating project course where students work on real-world data science problems. Integrates knowledge from the entire program.",data_science_capstone,Spring 4th Year,4.0,20,True,True,fall|spring,comprehensive,20-25 hours per week,Hard
STAT 35500,Statistics for Data Science,3,"Statistical methods and concepts specifically designed for data science applications. Covers descriptive statistics, probability, and inferential statistics.",data_science_core,Fall 2nd Year,3.8,12,True,True,fall|spring,comprehensive,12-15 hours per week,Moderate-Hard
STAT 24200,Introduction to Data Science (STAT),3,"Statistics department version of Introduction to Data Science. Covers statistical approaches to data analysis and interpretation.",data_science_core,Fall 2nd Year,3.5,12,True,True,fall|spring,comprehensive,10-15 hours per week,Moderate
CS 31400,Numerical Methods,3,Numerical Methods - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 33400,Fundamentals of Computer Graphics,3,Fundamentals of Computer Graphics - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 35100,Cloud Computing,3,Cloud Computing - Track course,required_core,track_course,0,0,False,False,,cli_bot,,
CS 35500,Introduction to Cryptography,3,Introduction to Cryptography - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 42200,Computer Networks,3,Computer Networks - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 42600,Computer Security,3,Computer Security - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 43400,Advanced Computer Graphics,3,Advanced Computer Graphics - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 43900,Introduction To Data Visualization,3,"The course offers an introduction to the fundamentals principles, design strategies, and techniques needed to visually communicate, explore, and analyze data. The course focuses primarily on the visual representation of inherently non-spatial data (e.g., tables and spreadsheets, graphs and networks, trees, text, and time series), but also considers the visualization of maps and of data in geospatial context.",cs_selective,Any,0,0,False,False,,cli_bot,,
CS 44000,Large Scale Data Analytics,3,"This course provides an integrated view of the key concepts of modern algorithmic data analytics. It focuses on teaching principles and methods needed to analyze large datasets in order to extract novel, transformative insights for the underlying application. The course emphasizes the duality between formulating questions that can be answered by statistical data analysis tools (the statistical perspective) and the algorithmic challenge of actually extracting such answers using available parallel and distributed computational resources from massive datasets. The topics cover three areas: (1) algorithmic concepts necessary for big data analytics, (2) big data systems, including data management and programming, and (3) advanced analytic methods to address characteristics of real-world big data problems.",cs_selective,Any,0,0,False,False,,cli_bot,,
CS 45800,Introduction To Robotics,3,"Any intelligent robot system interacting with our environment needs to have perception, planning, and control methods in its cognition process. The perception module outlines the robot's procedures to gather and interpret sensory observations into world models. The underlying planning and control modules use those world models to plan robot behaviors and their interaction with our natural environments. Therefore, this course will cover the fundamental topics in robot perception, planning, and control to design general-purpose robot cognition algorithms. Overall, this course is divided into four modules: Robot perception: This covers fundamental techniques needed for robot localization and mapping from raw 3D sensory data. Robot planning: This module will discuss robot behavior planning techniques such as A*, RRT*, and trajectory optimization. Robot Control: This introduces basic control techniques such as PID controller to execute the robot's planned behaviors in the real world. Robot Learning: This part will briefly introduce machine learning techniques for robot decision-making and control.",cs_selective,Any,0,0,False,False,,cli_bot,,
CS 47500,Human-Computer Interaction,3,"The goal of this course is to teach students how to design useful and usable interactive systems that address important needs of people. Students will experience the entire user-centered design life cycle, from need finding to usability evaluation. Topics covered in the course include user-centered design principles, usability heuristics, need-finding methods such as semi-structured interviews and contextual inquiry, quick prototyping techniques, usability evaluation methods such as hallway testing and human-subjects user study, and theories about user interaction and decision making. As we are entering a new era of AI, the course will also include a brief introduction on how to apply the HCI principles and techniques to AI-powered systems. This course is project-based. Students will form project teams among themselves to work on a semester-long project and apply the user-centered design principles, theories, and techniques that they have learned in class to build a useful and usable interactive system such as a mobile application. This course is also highly interactive, including a series of design studios and in-class activities that require active participation, communication, and discussion with other students.",cs_selective,Any,0,0,False,False,,cli_bot,,
CS 48300,Introduction To The Theory Of Computation,3,"Turing machines and the Church-Turing thesis; decidability; halting problem; reducibility; undecidable problems; decidability of logical theories; Kolmogorov complexity; time classes; P, NP, NP-complete; space classes; Savitch's theorem, PSPACE-completeness, NL-completeness; hierarchy theorems; approximation theorems; probabilistic algorithms; applications of complexity to parallel computation and cryptography.",cs_selective_ii,Any,0,0,False,False,,cli_bot,,
CS 49000-DSO,Distributed Systems,3,Distributed Systems - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 49000-SWS,Software Security,3,Software Security - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 49700,Honors Research Project,3,Honors Research Project - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 51400,Numerical Analysis,3,Numerical Analysis - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 51500,Numerical Linear Algebra,3,Numerical Linear Algebra - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 52000,Computational Methods In Optimization,3,Computational Methods In Optimization - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 52500,Parallel Computing,3,Parallel Computing - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 56000,Reasoning About Programs,3,Reasoning About Programs - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 57700,Natural Language Processing,3,"This course will cover the key concepts and methods used in modern Natural Language Processing (NLP). Throughout the course several core NLP tasks, such as sentiment analysis, information extraction, syntactic and semantic analysis, will be discussed. The course will emphasize machine-learning and data-driven algorithms and techniques, and will compare several different approaches to these problems in terms of their performance, supervision effort and computational complexity. Prerequisites: A background in linear algebra, calculus, statistics and probability, and completion of CS 57800 or equivalent are highly recommended. Strong programming skills in any modem language (Python, Java, C++) are required.",cs_selective,Any,0,0,False,False,,cli_bot,,
CS 57800,Statistical Machine Learning,3,Statistical Machine Learning - Track course,track,track_course,0,0,False,False,,cli_bot,,
CS 59000-SRS,Software Reliability and Security,3,Software Reliability and Security - Track course,track,track_course,0,0,False,False,,cli_bot,,
PSY 12000,Elementary Psychology,3,"Introduction to fundamental principles of psychology, covering personality, intelligence, emotion, abnormal behavior, attention, perception, learning, memory, and thinking. Required for AI major.",major_required,Any,0,0,False,True,,cli_bot,,
PSY 20000,Introduction To Cognitive Psychology,3,"Survey of psychology as the science of mental life, covering theories and research in perception, reading, attention, consciousness, imagery, memory, problem solving, creativity, decision-making, and artificial intelligence.",major_elective,Any,0,0,False,False,,cli_bot,,
PSY 22200,Introduction To Behavioral Neuroscience,3,"Introduction to how the nervous system controls behavior including evolution, comparative psychobiology, neuroscience of sensation/perception, motivation, neuropsychology, and cognitive neuroscience.",major_elective,Any,0,0,False,False,,cli_bot,,
PHIL 20800,Ethics Of Data Science,3,Ethical issues arising from data science applications. Provides tools for ethical reasoning in professional settings and case-study analysis framework.,major_elective,Any,0,0,False,False,,cli_bot,,
PHIL 22100,Introduction To Philosophy Of Science,3,"Introduction to scope and methods of science and theories of historical development. Topics include scientific revolutions, theories of scientific method, nature of scientific discovery, explanation, and role of values in scientific change.",major_elective,Any,0,0,False,False,,cli_bot,,
PHIL 32200,Philosophy Of Technology,3,"Philosophical examination of the nature and history of technology, as well as its complex impact on humans and the world.",major_elective,Any,0,0,False,False,,cli_bot,,
CS 25300,Data Structures And Algorithms For DS/AI,3,"This course gives a broad introduction to the most important data structures and algorithms in computer science. The emphasis is on data structures and their use in algorithms relevant for data science and AI and their applications. The course focuses on developing and comparing efficient implementations, assessing suitability of data structures for massive data sets, and understanding effective use, modifications, and extensions. This course will not fulfill CS 25100 requirement for any Computer Science major or minor.",data_science_core,Fall 2nd Year (Data Science),0,0,False,True,,cli_bot,,
CS 38003,Python Programming,1,"This course teaches the Python programming language assuming that students have already taken a course in computer programming. This 5-week one-credit course teaches the Python language, the most common modules used in Python, as well as how to write Python web applications.",data_science_elective,Any,0,0,False,False,,cli_bot,,
STAT 24200,Introduction To Data Science,3,"This course provides a broad introduction to the field of data science. The course focuses on using computational methods and statistical techniques to analyze massive amounts of data and to extract knowledge. It provides an overview of foundational computational and statistical tools for data acquisition and cleaning, data management and big data systems. The course surveys the complete data science process from data to knowledge and gives students hands-on experience with tools and methods. Basic knowledge of Python required. Computer Science majors cannot count this course as a degree requirement but can take it for credit as a free elective if taken before CS 37300, 34800, 47100, 47300, 44800.",data_science_core,Any,0,0,False,True,,cli_bot,,
STAT 35500,Statistics For Data Science,3,"An introduction to methodologies for data analysis and simulation. Populations and sampling. Distributions and summaries of distributions. Algorithms for sampling and resampling. Foundational statistical concepts including confidence intervals, hypothesis testing, correlation. Introduction to classification and regression. Essential use is made of statistical software throughout. For statistics majors and minors, credit should be allowed in no more than one of STAT 30100, 30301, 35000, 35500, 50100, and in no more than one of STAT 50300 and STAT 51100.",data_science_stats,Any,0,0,False,True,,cli_bot,,
STAT 41700,Statistical Theory,3,"An introduction to the mathematical theory of statistical inference, emphasizing inference for standard parametric families of distributions. Properties of estimators. Maximum likelihood estimation. Sufficient statistics. Hypothesis tests and confidence intervals. Distribution theory for common statistics based on normal distributions, including linear regression. Bayesian Statistics include posterior inference, posterior mean, maximum a-posteriori estimator, credible intervals, and Bayesian hypothesis testing.",data_science_stats,Any,0,0,False,False,,cli_bot,,
CS 52300,"Social, Economic, And Legal Aspects Of Security",3,"This course focuses on social, legal, and economic aspects of information security and privacy, also including ethics, policies, and human behavioral issues. The course covers the interactions between non-technological aspects of information security as well as relevant technological aspects. It focuses on how non-technological facets can inform and guide technological choices, and how technological choices can enhance or detract from the broader organizational and societal goals.",cs_selective_ii,Any,0,0,False,False,,cli_bot,,
CS 52900,Security Analytics,3,"This course focuses on applied data mining, machine learning, data analytics techniques, and their application and relevance in information security. The course covers basic concepts of data mining and machine learning, computation platforms in support of big data analytics including Map-Reduce and Spark, machine learning algorithms such as classification trees, logistic regression, naive Bayes, k Nearest Neighbors, Support Vector Machines, Artificial Neural Networks (including Feed Forward, Convolutional, and Recurrence), the application of these algorithms to security tasks such as Spam/Phishing detection, malware detection, intrusion detection, and situational awareness. The future and potential role of applying machine learning techniques in information and data security is explored.",cs_selective_ii,Any,0,0,False,False,,cli_bot,,
PHIL 25501,"Introduction To Cognitive Science: Minds, Brains, And Machines",3,"This will provide an introduction to foundational topics in the philosophy of mind. We will consider the relationship between the mind and the body, and the mental to the physical more generally. We'll ask, and look at some candidate answers to, questions like ""What is a mind, and what are its component parts? How does a mind work? How are minds related to brains, and to the physical bodies that they seem to animate and control? How do minds represent the world around them? What is a self? What is the nature of consciousness and subjective experience? Could other animals, aliens, computers, robots or other types of entities have minds, or be conscious? How would we know? How can empirical efforts like the cognitive sciences help shed light on these questions? Could scientific theories of the mind supplant our intuitive conceptions of the mind? If so, what would be the implications?""",philosophy_selective,Any,0,0,False,False,,cli_bot,,
PHIL 25601,Philosophy And Artificial Intelligence,3,"Just what is it to be artificially intelligent and what will be AIs impact on our future? This course tackles these questions using an interdisciplinary and historically anchored approach beginning with the development of AI to arrive at a more holistic, socially- and ethically-ensconced account of what it means to be artificially intelligent. Will AI agents change the nature of work? Can they be used to regulate individuals and their opportunities through automated algorithms and sorting software? What are the human and environmental costs of a full-throated adoption of AI? This class will arm you with the philosophical and historical background to begin to devise and weigh the creative opportunities and challenges posed by this future. We'll first consider traditional questions and issues in the philosophy of computation, epistemology, ethics and justice before turning to home onto a series of specific challenges that may include issues of AI in equity, AI and the law, AI and gender, AI and labor, AI and policy, the future of AI, and whether we can even design 'ethical' AI.",philosophy_selective,Any,0,0,False,False,,cli_bot,,
PHIL 30300,History Of Modern Philosophy (UCC: HUM),3,"Concentrates on the major philosophical writers from the Renaissance to the beginning of the nineteenth century: Descartes, Hobbes, Spinoza, Locke, Leibniz, Berkeley, Hume, Kant. Some in other areas, e.g., Galileo, Newton, Calvin, are also considered.",philosophy_selective,Any,0,0,False,False,,cli_bot,,
PHIL 43200,Theory Of Knowledge,3,"An analysis of selected texts on knowledge and rationality. Topics such as the following will be considered: foundationalism, coherentism, internalism, externalism, skepticism, contextualism, empiricism, rationalism, analyses of epistemic concepts, and the Gettier problem.",philosophy_selective,Any,0,0,False,False,,cli_bot,,
PHIL 43500,Philosophy Of Mind,3,"An examination of some central issues in the philosophy of mind. Attention is given to such topics as the knowledge of other minds, the relation between mind and body, the nature of persons, and the analysis of certain relevant concepts such as action, emotion, and perception. Readings are selected primarily from the writings of contemporary philosophers.",philosophy_selective,Any,0,0,False,False,,cli_bot,,
CS 57100,Artificial Intelligence,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 58000,"Algorithm Design, Analysis, And Implementation",3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 39000,Web Application Development,2.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 39700,Honors Seminar,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 59100,CERIAS Security Seminar,1.0,For details see https://www.cerias.purdue.edu/news_and_events/events/security_seminar/,catalog,,0,0,False,False,202610,complete_catalog,,
CS 59799,Graduate Professional Practice,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 52600,Information Security,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 53600,Data Communication And Computer Networks,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 57300,Data Mining,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 59300,Machine Learning Theory,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 50200,Compiling And Programming Systems,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 59000,Computing For Life Sciences,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 55500,Cryptography,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 54100,Database Systems,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 50100,Computing For Science And Engineering,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 50500,Distributed Systems,3.0,Non-CS students will not be able to register until Jan 1st. DO NOT contact the instructor. Students should submit their course request via Scheduling Assistant in their MyPurdue after Jan 1st. All requests are subject to space availability.,catalog,,0,0,False,False,202610,complete_catalog,,
CS 58800,Randomized Algorithms,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 19000,Topics In Computer Sciences,1.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 62600,Advanced Information Assurance,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 29000,Topics In Computer Sciences,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 44100,Data Science Capstone,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 36100,Great Issues In Computer Science,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 59200,Machine Learning Systems,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 29199,Cooperative Experience I,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 69800,Research MS Thesis,1.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 39399,Cooperative Experience III,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 29299,Cooperative Experience II,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 69900,Research PhD Thesis,1.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 39699,Professional Practice Internship,0.0,,catalog,,0,0,False,False,202610,complete_catalog,,
CS 53400,Motion Planning,3.0,,catalog,,0,0,False,False,202610,complete_catalog,,
